Namespace(augment=True, bs=256, classes=100, depth_id=0, epoch=200, expansion=0.0, gpu_id=1, kernel=0, light_id=0, lr=0.1, model_index=4, seed=1234, stride=1, width_id=0)
Epoch,Accuracy,learn_lr
001,1.420,0.100000
002,1.760,0.100000
003,3.350,0.100000
004,4.380,0.100000
005,7.020,0.100000
006,8.700,0.100000
007,9.870,0.100000
008,13.880,0.100000
009,16.460,0.100000
010,18.900,0.100000
011,22.080,0.100000
012,22.280,0.100000
013,25.270,0.100000
014,29.680,0.100000
015,34.630,0.100000
016,36.190,0.100000
017,39.420,0.100000
018,42.940,0.100000
019,43.610,0.100000
020,44.540,0.100000
021,44.430,0.100000
022,49.090,0.100000
023,46.010,0.100000
024,48.260,0.100000
025,49.210,0.100000
026,49.940,0.100000
027,52.020,0.100000
028,51.600,0.100000
029,54.710,0.100000
030,52.660,0.100000
031,50.040,0.100000
032,51.860,0.100000
033,54.980,0.100000
034,48.160,0.100000
035,54.380,0.100000
036,54.220,0.100000
037,54.720,0.100000
038,55.520,0.100000
039,52.850,0.100000
040,55.330,0.100000
041,56.310,0.100000
042,57.530,0.100000
043,57.590,0.100000
044,57.870,0.100000
045,55.620,0.100000
046,57.770,0.100000
047,53.620,0.100000
048,57.210,0.100000
049,59.290,0.100000
050,56.570,0.100000
051,57.630,0.100000
052,56.120,0.100000
053,60.700,0.100000
054,56.470,0.100000
055,60.340,0.100000
056,58.570,0.100000
057,56.320,0.100000
058,59.620,0.100000
059,57.850,0.100000
060,61.030,0.100000
061,73.950,0.010000
062,75.150,0.010000
063,75.380,0.010000
064,76.260,0.010000
065,76.220,0.010000
066,76.920,0.010000
067,76.810,0.010000
068,76.430,0.010000
069,76.760,0.010000
070,77.180,0.010000
071,76.470,0.010000
072,77.380,0.010000
073,76.970,0.010000
074,77.270,0.010000
075,77.560,0.010000
076,76.640,0.010000
077,77.070,0.010000
078,76.700,0.010000
079,77.180,0.010000
080,77.180,0.010000
081,77.400,0.010000
082,77.640,0.010000
083,76.830,0.010000
084,77.920,0.010000
085,77.870,0.010000
086,77.630,0.010000
087,77.130,0.010000
088,77.210,0.010000
089,76.880,0.010000
090,77.220,0.010000
091,76.840,0.010000
092,77.080,0.010000
093,76.510,0.010000
094,77.020,0.010000
095,76.780,0.010000
096,76.290,0.010000
097,76.040,0.010000
098,76.240,0.010000
099,77.480,0.010000
100,77.170,0.010000
101,77.530,0.010000
102,76.880,0.010000
103,76.860,0.010000
104,76.220,0.010000
105,77.170,0.010000
106,76.530,0.010000
107,76.110,0.010000
108,76.390,0.010000
109,76.430,0.010000
110,76.850,0.010000
111,79.730,0.001000
112,80.040,0.001000
113,80.020,0.001000
114,80.170,0.001000
115,80.290,0.001000
116,80.440,0.001000
117,80.410,0.001000
118,80.520,0.001000
119,80.320,0.001000
120,80.420,0.001000
121,80.530,0.001000
122,80.420,0.001000
123,80.410,0.001000
124,80.520,0.001000
125,80.430,0.001000
126,80.660,0.001000
127,80.710,0.001000
128,80.580,0.001000
129,80.750,0.001000
130,80.580,0.001000
131,80.510,0.001000
132,80.640,0.001000
133,80.740,0.001000
134,80.820,0.001000
135,80.840,0.001000
136,80.780,0.001000
137,80.790,0.001000
138,80.740,0.001000
139,81.010,0.001000
140,80.890,0.001000
141,80.910,0.001000
142,80.930,0.001000
143,81.040,0.001000
144,81.080,0.001000
145,80.700,0.001000
146,80.770,0.001000
147,80.830,0.001000
148,80.700,0.001000
149,81.220,0.001000
150,80.950,0.001000
151,81.060,0.001000
152,80.930,0.001000
153,80.770,0.001000
154,80.910,0.001000
155,80.990,0.001000
156,81.290,0.001000
157,81.030,0.001000
158,80.930,0.001000
159,81.010,0.001000
160,80.870,0.001000
161,81.040,0.000100
162,81.120,0.000100
163,81.160,0.000100
164,81.230,0.000100
165,81.210,0.000100
166,81.110,0.000100
167,81.290,0.000100
168,81.220,0.000100
169,81.340,0.000100
170,81.190,0.000100
171,81.140,0.000100
172,81.290,0.000100
173,81.200,0.000100
174,81.270,0.000100
175,81.180,0.000100
176,81.250,0.000100
177,81.310,0.000100
178,81.400,0.000100
179,81.240,0.000100
180,81.320,0.000100
181,81.290,0.000100
182,81.450,0.000100
183,81.340,0.000100
184,81.440,0.000100
185,81.300,0.000100
186,81.310,0.000100
187,81.430,0.000100
188,81.330,0.000100
189,81.260,0.000100
190,81.350,0.000100
191,81.340,0.000100
192,81.530,0.000100
193,81.240,0.000100
194,81.380,0.000100
195,81.440,0.000100
196,81.320,0.000100
197,81.250,0.000100
198,81.290,0.000100
199,81.200,0.000100
200,81.330,0.000100
The epoch = 192,max accuracy= 81.530
Total running time = 04:40:10
