Namespace(augment=True, bs=256, classes=200, depth_id=1, epoch=200, expansion=-1.0, gpu_id=0, kernel=3, light_id=0, lr=0.1, model_index=2, seed=1234, stride=1, width_id=0)
Epoch,Accuracy,learn_lr
001,5.490,0.100000
002,10.420,0.100000
003,13.640,0.100000
004,20.020,0.100000
005,22.830,0.100000
006,25.620,0.100000
007,25.710,0.100000
008,28.040,0.100000
009,29.260,0.100000
010,32.580,0.100000
011,33.250,0.100000
012,32.630,0.100000
013,33.850,0.100000
014,33.410,0.100000
015,35.310,0.100000
016,33.220,0.100000
017,34.350,0.100000
018,38.620,0.100000
019,37.650,0.100000
020,38.950,0.100000
021,34.750,0.100000
022,37.960,0.100000
023,38.210,0.100000
024,36.820,0.100000
025,37.520,0.100000
026,38.700,0.100000
027,39.810,0.100000
028,34.170,0.100000
029,36.710,0.100000
030,42.680,0.100000
031,39.640,0.100000
032,35.930,0.100000
033,38.990,0.100000
034,39.730,0.100000
035,40.620,0.100000
036,40.720,0.100000
037,41.070,0.100000
038,40.160,0.100000
039,37.670,0.100000
040,38.610,0.100000
041,36.490,0.100000
042,40.710,0.100000
043,39.560,0.100000
044,37.970,0.100000
045,42.280,0.100000
046,41.200,0.100000
047,37.950,0.100000
048,41.320,0.100000
049,41.120,0.100000
050,41.090,0.100000
051,41.140,0.100000
052,38.810,0.100000
053,39.440,0.100000
054,40.960,0.100000
055,38.590,0.100000
056,38.780,0.100000
057,40.990,0.100000
058,40.770,0.100000
059,39.740,0.100000
060,40.050,0.100000
061,57.980,0.010000
062,58.720,0.010000
063,59.670,0.010000
064,60.010,0.010000
065,60.520,0.010000
066,61.390,0.010000
067,60.810,0.010000
068,61.150,0.010000
069,60.910,0.010000
070,61.630,0.010000
071,61.260,0.010000
072,61.600,0.010000
073,61.680,0.010000
074,61.590,0.010000
075,61.670,0.010000
076,61.530,0.010000
077,62.150,0.010000
078,61.870,0.010000
079,61.230,0.010000
080,61.580,0.010000
081,60.500,0.010000
082,62.020,0.010000
083,61.090,0.010000
084,61.960,0.010000
085,61.440,0.010000
086,61.530,0.010000
087,60.780,0.010000
088,60.950,0.010000
089,61.380,0.010000
090,60.500,0.010000
091,60.970,0.010000
092,61.460,0.010000
093,61.320,0.010000
094,61.000,0.010000
095,60.360,0.010000
096,60.100,0.010000
097,61.480,0.010000
098,60.940,0.010000
099,60.980,0.010000
100,59.390,0.010000
101,61.480,0.010000
102,61.060,0.010000
103,60.780,0.010000
104,61.260,0.010000
105,60.990,0.010000
106,61.810,0.010000
107,61.030,0.010000
108,61.270,0.010000
109,61.600,0.010000
110,60.680,0.010000
111,65.730,0.001000
112,66.180,0.001000
113,66.730,0.001000
114,66.250,0.001000
115,66.580,0.001000
116,67.050,0.001000
117,67.080,0.001000
118,67.110,0.001000
119,67.110,0.001000
120,66.670,0.001000
121,66.860,0.001000
122,66.740,0.001000
123,66.710,0.001000
124,66.790,0.001000
125,66.890,0.001000
126,66.870,0.001000
127,67.200,0.001000
128,67.090,0.001000
129,66.820,0.001000
130,66.960,0.001000
131,67.120,0.001000
132,67.520,0.001000
133,67.310,0.001000
134,67.250,0.001000
135,67.340,0.001000
136,67.020,0.001000
137,66.750,0.001000
138,66.960,0.001000
139,66.920,0.001000
140,67.500,0.001000
141,67.080,0.001000
142,66.900,0.001000
143,67.070,0.001000
144,66.950,0.001000
145,67.280,0.001000
146,67.120,0.001000
147,67.480,0.001000
148,66.840,0.001000
149,67.050,0.001000
150,67.020,0.001000
151,67.030,0.001000
152,66.870,0.001000
153,67.140,0.001000
154,67.270,0.001000
155,66.780,0.001000
156,66.920,0.001000
157,67.040,0.001000
158,67.090,0.001000
159,66.510,0.001000
160,67.110,0.001000
161,67.600,0.000100
162,67.630,0.000100
163,67.500,0.000100
164,67.730,0.000100
165,67.370,0.000100
166,67.540,0.000100
167,67.680,0.000100
168,67.680,0.000100
169,67.610,0.000100
170,67.470,0.000100
171,67.380,0.000100
172,67.260,0.000100
173,67.580,0.000100
174,67.520,0.000100
175,67.370,0.000100
176,67.340,0.000100
177,67.370,0.000100
178,67.310,0.000100
179,67.350,0.000100
180,67.430,0.000100
181,67.470,0.000100
182,67.500,0.000100
183,67.340,0.000100
184,67.450,0.000100
185,67.360,0.000100
186,67.450,0.000100
187,67.420,0.000100
188,67.240,0.000100
189,67.190,0.000100
190,67.250,0.000100
191,67.110,0.000100
192,67.300,0.000100
193,67.290,0.000100
194,67.340,0.000100
195,67.350,0.000100
196,67.400,0.000100
197,67.570,0.000100
198,67.400,0.000100
199,67.550,0.000100
200,67.390,0.000100
The epoch = 164,max accuracy= 67.730
Total running time = 09:53:08
