Namespace(augment=True, bs=256, classes=200, depth_id=0, epoch=200, expansion=-1.0, gpu_id=0, kernel=3, light_id=0, lr=0.1, model_index=2, seed=1234, stride=1, width_id=1)
Epoch,Accuracy,learn_lr
001,6.320,0.100000
002,10.430,0.100000
003,18.760,0.100000
004,21.880,0.100000
005,25.790,0.100000
006,28.530,0.100000
007,30.050,0.100000
008,27.480,0.100000
009,31.350,0.100000
010,32.400,0.100000
011,35.000,0.100000
012,33.780,0.100000
013,33.810,0.100000
014,35.000,0.100000
015,35.490,0.100000
016,36.430,0.100000
017,36.770,0.100000
018,36.820,0.100000
019,36.540,0.100000
020,35.500,0.100000
021,39.140,0.100000
022,39.170,0.100000
023,36.720,0.100000
024,37.170,0.100000
025,36.790,0.100000
026,38.030,0.100000
027,39.130,0.100000
028,39.070,0.100000
029,42.530,0.100000
030,38.310,0.100000
031,42.200,0.100000
032,39.430,0.100000
033,43.610,0.100000
034,41.030,0.100000
035,39.260,0.100000
036,38.380,0.100000
037,38.120,0.100000
038,41.270,0.100000
039,43.590,0.100000
040,43.390,0.100000
041,42.280,0.100000
042,42.710,0.100000
043,42.600,0.100000
044,42.620,0.100000
045,42.900,0.100000
046,42.580,0.100000
047,41.280,0.100000
048,42.190,0.100000
049,43.810,0.100000
050,42.750,0.100000
051,43.180,0.100000
052,43.230,0.100000
053,35.180,0.100000
054,42.180,0.100000
055,41.390,0.100000
056,38.690,0.100000
057,43.110,0.100000
058,43.500,0.100000
059,40.450,0.100000
060,42.990,0.100000
061,58.590,0.010000
062,59.600,0.010000
063,60.200,0.010000
064,60.340,0.010000
065,61.120,0.010000
066,61.150,0.010000
067,62.010,0.010000
068,62.060,0.010000
069,62.130,0.010000
070,62.430,0.010000
071,62.210,0.010000
072,61.890,0.010000
073,62.090,0.010000
074,61.770,0.010000
075,62.260,0.010000
076,62.450,0.010000
077,62.010,0.010000
078,62.360,0.010000
079,62.430,0.010000
080,62.090,0.010000
081,61.990,0.010000
082,62.240,0.010000
083,62.140,0.010000
084,62.060,0.010000
085,62.420,0.010000
086,62.450,0.010000
087,61.470,0.010000
088,61.820,0.010000
089,62.050,0.010000
090,61.710,0.010000
091,61.790,0.010000
092,61.820,0.010000
093,60.980,0.010000
094,61.940,0.010000
095,61.330,0.010000
096,61.480,0.010000
097,61.510,0.010000
098,62.010,0.010000
099,62.010,0.010000
100,61.480,0.010000
101,60.800,0.010000
102,61.630,0.010000
103,62.570,0.010000
104,59.970,0.010000
105,60.980,0.010000
106,61.010,0.010000
107,62.440,0.010000
108,61.870,0.010000
109,61.150,0.010000
110,62.420,0.010000
111,66.310,0.001000
112,67.000,0.001000
113,67.060,0.001000
114,67.100,0.001000
115,66.690,0.001000
116,67.040,0.001000
117,67.040,0.001000
118,67.160,0.001000
119,67.190,0.001000
120,66.930,0.001000
121,67.210,0.001000
122,67.580,0.001000
123,67.480,0.001000
124,67.320,0.001000
125,67.220,0.001000
126,67.500,0.001000
127,67.470,0.001000
128,67.360,0.001000
129,67.410,0.001000
130,67.260,0.001000
131,67.340,0.001000
132,67.330,0.001000
133,67.470,0.001000
134,67.450,0.001000
135,67.250,0.001000
136,67.480,0.001000
137,67.500,0.001000
138,67.700,0.001000
139,67.470,0.001000
140,67.430,0.001000
141,67.530,0.001000
142,67.450,0.001000
143,67.630,0.001000
144,67.500,0.001000
145,67.290,0.001000
146,67.430,0.001000
147,67.140,0.001000
148,67.120,0.001000
149,67.150,0.001000
150,66.970,0.001000
151,67.320,0.001000
152,66.980,0.001000
153,67.010,0.001000
154,67.090,0.001000
155,67.290,0.001000
156,67.250,0.001000
157,67.040,0.001000
158,67.210,0.001000
159,67.050,0.001000
160,66.940,0.001000
161,66.920,0.000100
162,67.200,0.000100
163,67.170,0.000100
164,67.260,0.000100
165,67.340,0.000100
166,67.160,0.000100
167,67.280,0.000100
168,67.230,0.000100
169,67.230,0.000100
170,67.230,0.000100
171,67.250,0.000100
172,67.480,0.000100
173,67.200,0.000100
174,67.450,0.000100
175,67.190,0.000100
176,67.260,0.000100
177,67.410,0.000100
178,67.390,0.000100
179,67.350,0.000100
180,67.370,0.000100
181,67.360,0.000100
182,67.300,0.000100
183,67.610,0.000100
184,67.520,0.000100
185,67.460,0.000100
186,67.370,0.000100
187,67.470,0.000100
188,67.330,0.000100
189,67.450,0.000100
190,67.370,0.000100
191,67.300,0.000100
192,67.370,0.000100
193,67.450,0.000100
194,67.450,0.000100
195,67.380,0.000100
196,67.310,0.000100
197,67.390,0.000100
198,67.390,0.000100
199,67.450,0.000100
200,67.390,0.000100
The epoch = 138,max accuracy= 67.700
Total running time = 09:25:53
